,Bedrooms,Bathrooms,Offers,Neighborhood_East,Neighborhood_North,Neighborhood_West,Brick_No,Brick_Yes,Price,SqFt
Bedrooms,1.0,0.4145559559464356,0.11427060981307542,-0.09175033768171303,-0.3646674428955632,0.4714768641859829,-0.04638007554500718,0.04638007554500718,0.5240281301537898,0.4825656212622039
Bathrooms,0.4145559559464356,1.0,0.1437934036097322,-0.0012472084029785029,-0.27582970239353866,0.28592313575120765,-0.17197691337400567,0.17197691337400567,0.5241734309980605,0.5252346207028312
Offers,0.11427060981307542,0.1437934036097322,1.0,-0.015602051867151977,0.3329866090837305,-0.3274252062467597,0.1449860566168753,-0.1449860566168753,-0.3195542522330054,0.3334905013126707
Neighborhood_East,-0.09175033768171303,-0.0012472084029785029,-0.015602051867151977,1.0,-0.5329100443024287,-0.4874213081201769,-0.14756389587763524,0.14756389587763524,-0.14505862222192317,0.04697951880327563
Neighborhood_North,-0.3646674428955632,-0.27582970239353866,0.3329866090837305,-0.5329100443024287,1.0,-0.47909760011232244,0.2605536109272983,-0.2605536109272983,-0.5514065059087034,-0.2866270186294163
Neighborhood_West,0.4714768641859829,0.28592313575120765,-0.3274252062467597,-0.4874213081201769,-0.47909760011232244,1.0,-0.11579309949164264,0.11579309949164264,0.7194717920522409,0.24703776079234116
Brick_No,-0.04638007554500718,-0.17197691337400567,0.1449860566168753,-0.14756389587763524,0.2605536109272983,-0.11579309949164264,1.0,-1.0,-0.4527169811330623,-0.08825832224242706
Brick_Yes,0.04638007554500718,0.17197691337400567,-0.1449860566168753,0.14756389587763524,-0.2605536109272983,0.11579309949164264,-1.0,1.0,0.4527169811330623,0.08825832224242706
Price,0.5240281301537898,0.5241734309980605,-0.3195542522330054,-0.14505862222192317,-0.5514065059087034,0.7194717920522409,-0.4527169811330623,0.4527169811330623,1.0,0.5490700943931159
SqFt,0.4825656212622039,0.5252346207028312,0.3334905013126707,0.04697951880327563,-0.2866270186294163,0.24703776079234116,-0.08825832224242706,0.08825832224242706,0.5490700943931159,1.0
